OBJECTID,ORIGID,CountyName,PopulationCensus16,TimeStamp,IGEasting,IGNorthing,Lat,Long,UGI,ConfirmedCovidCases,PopulationProportionCovidCases,ConfirmedCovidDeaths,ConfirmedCovidRecovered,Shape__Area,Shape__Length
12292,20,Roscommon,64544,2020-03-01T00:00:00.000Z,182029,283486,53.8008,-8.2735,http://data.geohive.ie/resource/county/2ae19629-1447-13a3-e055-000000000001,0,,,,7278743876,622494.1546
12293,21,Sligo,65535,2020-03-01T00:00:00.000Z,165130,323355,54.1581,-8.5345,http://data.geohive.ie/resource/county/2ae19629-1449-13a3-e055-000000000001,0,,,,5348370378,682286.8703
12294,22,Tipperary,159553,2020-03-01T00:00:00.000Z,205427,154345,52.6407,-7.9206,http://data.geohive.ie/resource/county/2ae19629-144a-13a3-e055-000000000001,0,,,,11551196729,781276.5797
12295,23,Waterford,116176,2020-03-01T00:00:00.000Z,234676,105809,52.2035,-7.4935,http://data.geohive.ie/resource/county/2ae19629-144b-13a3-e055-000000000001,0,,,,4848379555,643184.904
12296,24,Westmeath,88770,2020-03-01T00:00:00.000Z,238362,255966,53.5524,-7.4219,http://data.geohive.ie/resource/county/2ae19629-144c-13a3-e055-000000000001,0,,,,5208705730,422669.3327
12297,25,Wexford,149722,2020-03-01T00:00:00.000Z,301627,141559,52.5164,-6.5037,http://data.geohive.ie/resource/county/2ae19629-144d-13a3-e055-000000000001,0,,,,6332221063,589324.4767
12298,26,Wicklow,142425,2020-03-01T00:00:00.000Z,311162,197894,53.0205,-6.3442,http://data.geohive.ie/resource/county/2ae19629-144e-13a3-e055-000000000001,0,,,,5580728579,427539.1986
12299,1,Carlow,56932,2020-03-02T00:00:00.000Z,278661,163444,52.7168,-6.8367,http://data.geohive.ie/resource/county/2ae19629-143d-13a3-e055-000000000001,0,,,,2432351721,319348.5725
12300,2,Cavan,76176,2020-03-02T00:00:00.000Z,246380,304501,53.9878,-7.2937,http://data.geohive.ie/resource/county/2ae19629-1448-13a3-e055-000000000001,0,,,,5575009911,515954.4965
12301,3,Clare,118817,2020-03-02T00:00:00.000Z,133493,182732,52.8917,-8.9889,http://data.geohive.ie/resource/county/2ae19629-1450-13a3-e055-000000000001,0,,,,8722541706,1013948.95
12302,4,Cork,542868,2020-03-02T00:00:00.000Z,156242,77860,51.9517,-8.6372,http://data.geohive.ie/resource/county/2ae19629-1451-13a3-e055-000000000001,0,,,,19529490886,2129949.409
12303,5,Donegal,159192,2020-03-02T00:00:00.000Z,202615,405691,54.8989,-7.96,http://data.geohive.ie/resource/county/2ae19629-1452-13a3-e055-000000000001,0,,,,14624041937,2145085.774
12304,6,Dublin,1347359,2020-03-02T00:00:00.000Z,313762,235813,53.3605,-6.292,http://data.geohive.ie/resource/county/2ae19629-144f-13a3-e055-000000000001,0,,,,2612632655,449433.5318
12305,7,Galway,258058,2020-03-02T00:00:00.000Z,151045,235818,53.3705,-8.7362,http://data.geohive.ie/resource/county/2ae19629-1453-13a3-e055-000000000001,0,,,,17079158586,1972288.286
